START | Starter Checks: Breath | 501 | True_()
START | Starter Checks: Glide | 502 | True_()
START | Starter Checks: Swim | 503 | True_()
START | Starter Checks: Charge | 504 | True_()
ShopPads | Moneybags: Shop Item 1 | 901 | True_()
ShopPads | Moneybags: Shop Item 2 | 902 | ShopCheckRule(1)
ShopPads | Moneybags: Shop Item 3 | 903 | ShopCheckRule(2)
ShopPads | Moneybags: Shop Item 4 | 904 | ShopCheckRule(3)
ShopPads | Moneybags: Shop Item 5 | 905 | ShopCheckRule(4)
ShopPads | Moneybags: Shop Item 6 | 906 | ShopCheckRule(5)
ShopPads | Moneybags: Shop Item 7 | 907 | ShopCheckRule(6)
ShopPads | Moneybags: Shop Item 8 | 908 | ShopCheckRule(7)
ShopPads | Moneybags: Shop Item 9 | 909 | ShopCheckRule(8)
ShopPads | Moneybags: Shop Item 10 | 910 | ShopCheckRule(9)
ShopPads | Moneybags: Shop Item 11 | 911 | ShopCheckRule(10)
ShopPads | Moneybags: Shop Item 12 | 912 | ShopCheckRule(11)
ShopPads | Moneybags: Shop Item 13 | 913 | ShopCheckRule(12)
ShopPads | Moneybags: Shop Item 14 | 914 | ShopCheckRule(13)
ShopPads | Moneybags: Shop Item 15 | 915 | ShopCheckRule(14)
ShopPads | Moneybags: Shop Item 16 | 916 | ShopCheckRule(15)
ShopPads | Moneybags: Shop Item 17 | 917 | ShopCheckRule(16)
ShopPads | Moneybags: Shop Item 18 | 918 | ShopCheckRule(17)
ShopPads | Moneybags: Shop Item 19 | 919 | ShopCheckRule(18)
ShopPads | Moneybags: Shop Item 20 | 920 | ShopCheckRule(19)
ShopPads | Moneybags: Shop Item 21 | 921 | ShopCheckRule(20)
ShopPads | Moneybags: Shop Item 22 | 922 | ShopCheckRule(21)
ShopPads | Moneybags: Shop Item 23 | 923 | ShopCheckRule(22)
ShopPads | Moneybags: Shop Item 24 | 924 | ShopCheckRule(23)
ShopPads | Moneybags: Shop Item 25 | 925 | ShopCheckRule(24)
ShopPads | Moneybags: Shop Item 26 | 926 | ShopCheckRule(25)
ShopPads | Moneybags: Shop Item 27 | 927 | ShopCheckRule(26)
ShopPads | Moneybags: Shop Item 28 | 928 | ShopCheckRule(27)
ShopPads | Moneybags: Shop Item 29 | 929 | ShopCheckRule(28)
ShopPads | Moneybags: Shop Item 30 | 930 | ShopCheckRule(29)
ShopPads | Moneybags: Shop Item 31 | 931 | ShopCheckRule(30)
ShopPads | Moneybags: Shop Item 32 | 932 | ShopCheckRule(31)
ShopPads | Moneybags: Shop Item 33 | 933 | ShopCheckRule(32)
ShopPads | Moneybags: Shop Item 34 | 934 | ShopCheckRule(33)
ShopPads | Moneybags: Shop Item 35 | 935 | ShopCheckRule(34)
ShopPads | Moneybags: Shop Item 36 | 936 | ShopCheckRule(35)
ShopPads | Moneybags: Shop Item 37 | 937 | ShopCheckRule(36)
ShopPads | Moneybags: Shop Item 38 | 938 | ShopCheckRule(37)
ShopPads | Moneybags: Shop Item 39 | 939 | ShopCheckRule(38)
ShopPads | Moneybags: Shop Item 40 | 940 | ShopCheckRule(39)
ShopPads | Moneybags: Shop Item 41 | 941 | ShopCheckRule(40)
ShopPads | Moneybags: Shop Item 42 | 942 | ShopCheckRule(41)
ShopPads | Moneybags: Shop Item 43 | 943 | ShopCheckRule(42)
ShopPads | Moneybags: Shop Item 44 | 944 | ShopCheckRule(43)
ShopPads | Moneybags: Shop Item 45 | 945 | ShopCheckRule(44)
ShopPads | Moneybags: Shop Item 46 | 946 | ShopCheckRule(45)
ShopPads | Moneybags: Shop Item 47 | 947 | ShopCheckRule(46)
ShopPads | Moneybags: Shop Item 48 | 948 | ShopCheckRule(47)
ShopPads | Moneybags: Shop Item 49 | 949 | ShopCheckRule(48)
ShopPads | Moneybags: Shop Item 50 | 950 | ShopCheckRule(49)
ShopPads | Moneybags: Shop Item 51 | 951 | ShopCheckRule(50)
ShopPads | Moneybags: Shop Item 52 | 952 | ShopCheckRule(51)
ShopPads | Moneybags: Shop Item 53 | 953 | ShopCheckRule(52)
ShopPads | Moneybags: Shop Item 54 | 954 | ShopCheckRule(53)
ShopPads | Moneybags: Shop Item 55 | 955 | ShopCheckRule(54)
ShopPads | Moneybags: Shop Item 56 | 956 | ShopCheckRule(55)
DVEntry | DV: Double Jump from Elder Tomas | 601 | True_()
DVEntry | DV: Dark Gem by Ember | 101 | Has('Double Jump')
DVGnastyCave | DV: Dragon Egg in Gnasty Gnorc Cave | 301 | True_()
DVGnastyCave | DV: Electric Breath from Gnasty Gnorc | 701 | HasAny('Fire Breath', 'Charge')
DVGnastyCave | DV: Defeat Gnasty Gnorc | 702 | HasAny('Fire Breath', 'Charge')
DVByrdLower | DV: Light Gem in Locked Chest near Village Depot | 822 | LockedChestRule('Dragon Village')
DVByrdLower | DV: Dragon Egg from Sgt. Byrd | 302 | True_()
DVByrdLower | DV: Light Gem from Sgt. Byrd | 201 | True_()
DVByrdUpper | DV: Firework above Sgt. Byrd | 401 | Has('Fire Breath')
DVByrdUpper | DV: Light Gem above Sgt. Byrd | 202 | True_()
DVByrdUpper | DV: Dark Gem above Sgt. Byrd | 102 | True_()
DVByrdUpper | DV: Dragon Egg above Sgt. Byrd | 303 | True_()
DVLabSecret | DV: Dragon Egg by lab secret entrance | 304 | True_()
DVLabSecret | DV: Light Gem in lab secret entrance | 203 | True_()
DVHunterPreGlide | DV: Dark Gem by Elder Tomas | 103 | True_()
DVHunterPostGlide | DV: Dragon Egg in glide tutorial | 305 | True_()
DVHunterPostGlide | DV: Firework at end of glide tutorial | 402 | Has('Fire Breath')
DVOutsideBallGadget | DV: Light Gem in nursery | 204 | True_()
DVOutsideBallGadget | DV: Dragon Egg in Locked Chest next to Ball Gadget | 837 | LockedChestRule('Dragon Village')
DVOutsideBallGadget | DV: Firework next to Ball Gadget | 403 | Has('Fire Breath')
DVTunnelToCroc | DV: Firework across Crocovile bridge | 404 | Has('Fire Breath')
DVTunnelToCroc | DV: Light Gem in Locked Chest across Crocovile bridge | 823 | LockedChestRule('Dragon Village')
CSPyramidAndTemple | CS: Dark Gem near Perilous Pyramid | 104 | Has('Double Jump')
CSPyramidAndTemple | CS: Light Gem inside Perilous Pyramid behind supercharge door | 205 | SuperchargeGadget()
CSPyramidAndTemple | CS: Light Gem atop Perilous Pyramid | 206 | HasAll('Double Jump', 'Glide')
CSPyramidAndTemple | CS: Dragon Egg in Locked Chest after Perilous Pyramid | 838 | LockedChestRule('Crocovile Swamp')
CSPyramidAndTemple | CS: Light Gem behind wall with chargeable switch | 207 | Has('Charge')
CSWest | CS: Light Gem in Locked Chest behind chargeable wall | 824 | And(Has('Charge'), LockedChestRule('Crocovile Swamp'))
CSWest | CS: Firework behind cliff in west area | 405 | Has('Fire Breath')
CSWest | CS: Dragon Egg across muddy platforms in west area | 306 | True_()
CSInsideTemple | CS: Dragon Egg in Locked Chest in Forgotten Temple | 839 | And(HasAny('Fire Breath', 'Electric Breath', 'Charge'), LockedChestRule('Crocovile Swamp'))
CSInsideTemple | CS: Light Gem in Forgotten Temple cave | 208 | True_()
CSInsideTempleElectric | CS: Dragon Egg from thief in Forgotten Temple | 307 | Has('Charge')
CSEastPoles | CS: Dragon Egg in pole spin cave | 308 | Has('Charge')
CSTree | CS: Light Gem across sinking platforms | 209 | Has('Double Jump')
CSTree | CS: Dragon Egg from Blink | 309 | True_()
CSTree | CS: Light Gem from Blink | 210 | True_()
CSTree | CS: Dark Gem outside Elder's tree | 105 | Has('Double Jump')
CSTree | CS: Pole Spin from Elder Magnus | 602 | Has('Double Jump')
CSTree | CS: Dark Gem in cave to Fredneck | 106 | HasAll('Pole Spin', 'Double Jump')
CSAboveElder | CS: Dragon Egg in middle of Elder's tree | 310 | HasAny('Charge', 'Glide')
CSAboveElder | CS: Firework in middle of Elder's tree | 406 | And(Has('Fire Breath'), HasAny('Charge', 'Glide'))
CSAboveElder | CS: Firework atop Elder's tree | 407 | Has('Fire Breath')
CSAboveElder | CS: Light Gem atop Elder's tree | 211 | True_()
CSFredneck | CS: Dragon Egg from Fredneck | 311 | True_()
